1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 3
20, 6
21, 17
22, 24
23, 58
24, 98
25, 119
26, 160
27, 213
28, 233
29, 301
30, 327
31, 358
32, 329
33, 355
34, 330
35, 353
36, 348
37, 412
38, 424
39, 571
40, 679
41, 925
42, 1095
43, 1359
44, 1702
45, 2004
46, 2454
47, 2804
48, 3353
49, 3710
50, 3926
51, 4131
52, 4253
53, 4245
54, 4157
55, 3965
56, 3648
57, 3302
58, 2878
59, 2580
60, 2083
61, 1667
62, 1318
63, 954
64, 830
65, 572
66, 457
67, 331
68, 265
69, 198
70, 198
71, 155
72, 168
73, 136
74, 148
75, 140
76, 166
77, 137
78, 147
79, 140
80, 141
81, 145
82, 134
83, 137
84, 142
85, 148
86, 131
87, 154
88, 166
89, 156
90, 159
91, 162
92, 142
93, 148
94, 172
95, 157
96, 169
97, 196
98, 176
99, 169
100, 189
101, 184
102, 210
103, 221
104, 185
105, 209
106, 214
107, 192
108, 243
109, 207
110, 209
111, 225
112, 242
113, 266
114, 259
115, 283
116, 283
117, 327
118, 384
119, 424
120, 427
121, 448
122, 479
123, 525
124, 572
125, 531
126, 630
127, 622
128, 565
129, 550
130, 560
131, 532
132, 511
133, 460
134, 404
135, 387
136, 382
137, 384
138, 354
139, 328
140, 345
141, 355
142, 379
143, 368
144, 388
145, 428
146, 413
147, 401
148, 421
149, 446
150, 444
151, 433
152, 431
153, 472
154, 499
155, 559
156, 599
157, 703
158, 849
159, 1018
160, 1299
161, 1656
162, 2170
163, 2818
164, 3531
165, 4596
166, 5722
167, 6988
168, 8189
169, 9604
170, 10916
171, 12257
172, 13162
173, 13921
174, 14567
175, 14944
176, 14717
177, 14189
178, 13585
179, 12589
180, 11386
181, 9907
182, 8751
183, 7306
184, 6016
185, 4971
186, 3939
187, 3023
188, 2328
189, 1849
190, 1436
191, 1090
192, 869
193, 644
194, 485
195, 465
196, 339
197, 283
198, 262
199, 247
200, 275
201, 208
202, 262
203, 251
204, 234
205, 236
206, 224
207, 273
208, 252
209, 257
210, 262
211, 264
212, 236
213, 259
214, 246
